seed,mAP50,mAP50_95,precision,recall,training_time_sec,gpu_memory_gb,model_size_mb,early_stopping,experiment
0,0.7606,0.42535,0.73434,0.6984,1827.6053886413574,0.34789276123046875,5.921786308288574,False,baseline_v2_200px_Adam
1,0.75525,0.42645,0.72417,0.66978,1774.6673843860626,0.34682416915893555,5.921786308288574,False,baseline_v2_200px_Adam
2,0.76505,0.43349,0.72377,0.70274,1815.7369372844696,0.3470449447631836,5.921786308288574,False,baseline_v2_200px_Adam
3,0.7637,0.73283,0.68483,0.73283,1846.1262848377228,0.3470449447631836,5.921786308288574,False,baseline_v2_200px_Adam
0,0.74589,0.41037,0.65415,0.72005,1776.9870924949646,0.4875779151916504,5.925631523132324,True,baseline_v2_320px_Adam
1,0.75492,0.4272,0.7191,0.68692,2062.920469522476,0.4865574836730957,5.927218437194824,True,baseline_v2_320px_Adam
2,0.76418,0.43186,0.67623,0.72103,2206.9098126888275,0.4865574836730957,5.927828788757324,True,baseline_v2_320px_Adam
3,0.75235,0.43812,0.68784,0.7115,2414.074509859085,0.4865574836730957,5.928683280944824,True,baseline_v2_320px_Adam
0,0.74613,0.41302,0.68499,0.70089,2603.715232372284,0.8394169807434082,5.941805839538574,True,baseline_v2_480px_Adam
1,0.76638,0.43291,0.73942,0.71359,3804.003037214279,0.8352398872375488,5.944857597351074,True,baseline_v2_480px_Adam
2,0.75039,0.42141,0.68807,0.69615,20926.52002978325,0.8350205421447754,5.941561698913574,True,baseline_v2_480px_Adam
0,0.75464,0.42178,0.71767,0.68915,2988.618912935257,0.8394169807434082,5.941805839538574,True,baseline_v2_480px_Adam_cos_lr
1,0.76747,0.44199,0.72568,0.72361,4484.318165540695,0.8359055519104004,5.944857597351074,True,baseline_v2_480px_Adam_cos_lr
2,0.7733,0.44095,0.73128,0.73396,3753.6719419956207,0.8359055519104004,5.944857597351074,True,baseline_v2_480px_Adam_cos_lr
0,0.75219,0.4268,0.71943,0.67049,2734.26979470253,0.8394169807434082,5.941683769226074,True,baseline_v2_480px_AdamW_cos_lr
1,0.75815,0.42076,0.76397,0.66818,2587.4369831085205,0.8359055519104004,5.941805839538574,True,baseline_v2_480px_AdamW_cos_lr
2,0.77237,0.43743,0.73174,0.70745,3341.1965568065643,0.8359055519104004,5.943758964538574,True,baseline_v2_480px_AdamW_cos_lr
