experiment,mAP50,mAP50-95,precision,recall,training_time_sec
baseline_v1,0.7355700878413008,0.43756170191998933,0.7595570867737108,0.6464090539929951,5667.62
baseline_v2_200px,0.6936207133289353,0.39403736494979563,0.6406822244257665,0.675476350989293,1932.43
baseline_v2_320px,0.7098967277850147,0.39788454663092254,0.6762119854639509,0.6824411765127915,1759.16*E_S_38
baseline_v1_480px,0.7401835789565658,0.42138145458493004,0.6614371921913933,0.6934262348596175,4044.78
opt_adam_v1_480px,0.7515532369697319,0.4305988545855263,0.6972499288771693,0.7016389708846832,4655.0*E_S_40
opt_adam_v1_480px,0.7515532369697319,0.4305988545855263,0.6972499288771693,0.7016389708846832,5210.41
opt_AdamW_v1_480px,0.7403316611055692,0.4114207592655649,0.7088780253775906,0.6672171581037656,3061.5*E_S_38
opt_AdamW_E2__lr_0005,0.7537775903029829,0.44005288365552003,0.6667647753834628,0.7288667316044077,4983.38
opt_AdamW_E3__mosaic_0,0.7693468731657198,0.43911314606810836,0.7635887056229551,0.7039888331496904,4443.66
opt_Adam_E3__mosaic_0,0.772612113228103,0.4408058297196923,0.7483062661157348,0.6907232137750735,4480.91
