epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.9845,1.87977,3.83108,1.94277,0.00547,0.64246,0.04792,0.01721,2.07903,4.16379,2.09587,0.000331481,0.000331481,0.0671833
2,190.529,1.63016,3.62764,1.73578,0.55147,0.07787,0.10201,0.0433,1.86625,3.74467,1.93187,0.000653845,0.000653845,0.0341724
3,284.233,1.5312,3.30783,1.65854,0.38496,0.34543,0.26084,0.11651,1.67221,3.43463,1.77254,0.000965209,0.000965209,0.00115039
4,378.223,1.50082,2.8238,1.63704,0.52486,0.33651,0.3797,0.19581,1.62145,2.9082,1.72889,0.0009505,0.0009505,0.0009505
5,473.611,1.48102,2.51443,1.60733,0.74361,0.40145,0.47727,0.23969,1.62578,2.77544,1.77138,0.000934,0.000934,0.000934
6,566.307,1.47976,2.29969,1.58893,0.47451,0.55443,0.51297,0.25151,1.65537,2.59191,1.77781,0.0009175,0.0009175,0.0009175
7,661.141,1.44087,2.15386,1.55873,0.46904,0.598,0.5698,0.28206,1.59258,2.43285,1.70464,0.000901,0.000901,0.000901
8,754.101,1.43449,2.06205,1.54943,0.48954,0.52772,0.53041,0.26297,1.65418,2.58731,1.7753,0.0008845,0.0008845,0.0008845
9,845.523,1.42383,2.01604,1.53678,0.5514,0.58462,0.60947,0.3193,1.57831,2.40504,1.73066,0.000868,0.000868,0.000868
10,937.061,1.40939,1.9684,1.52775,0.53866,0.65235,0.6336,0.31733,1.53831,2.30586,1.67667,0.0008515,0.0008515,0.0008515
11,1039.37,1.38122,1.94705,1.5075,0.60381,0.60422,0.65275,0.35205,1.47777,2.17207,1.61329,0.000835,0.000835,0.000835
12,1137.02,1.38285,1.9219,1.50795,0.63213,0.62723,0.67686,0.36704,1.48245,2.14177,1.60121,0.0008185,0.0008185,0.0008185
13,1230.59,1.38733,1.92537,1.51658,0.68319,0.55689,0.65195,0.34913,1.47551,2.16292,1.60883,0.000802,0.000802,0.000802
14,1324.03,1.38244,1.88833,1.50556,0.65472,0.61926,0.69096,0.37072,1.46034,2.10464,1.58847,0.0007855,0.0007855,0.0007855
15,1418.97,1.37506,1.86114,1.49307,0.69526,0.6201,0.68723,0.37093,1.47296,2.0708,1.60906,0.000769,0.000769,0.000769
16,1521.93,1.35842,1.84934,1.48706,0.6471,0.63354,0.67997,0.35436,1.51356,2.1256,1.64366,0.0007525,0.0007525,0.0007525
17,1620.86,1.34976,1.81584,1.4768,0.60962,0.59976,0.64774,0.33935,1.53751,2.17993,1.66792,0.000736,0.000736,0.000736
18,1718.98,1.34394,1.7906,1.47194,0.62402,0.66349,0.69723,0.3723,1.46638,2.01573,1.60427,0.0007195,0.0007195,0.0007195
19,1814.89,1.34651,1.78704,1.48078,0.68275,0.61776,0.69354,0.38258,1.45065,1.98107,1.59091,0.000703,0.000703,0.000703
